iter	MultiClass
0	1.695286887
1	1.611484044
2	1.535512031
3	1.473019881
4	1.41594884
5	1.367544521
6	1.32391465
7	1.284851812
8	1.250629601
9	1.221039149
10	1.191081941
11	1.163376463
12	1.139363494
13	1.115739297
14	1.09781466
15	1.078326486
16	1.062067104
17	1.045568094
18	1.03090868
19	1.017399545
20	1.004062407
21	0.9924387287
22	0.9800336859
23	0.9703731783
24	0.9601750178
25	0.9511931839
26	0.9435785558
27	0.9361719935
28	0.9291915013
29	0.9228805113
30	0.914116515
31	0.9079880649
32	0.9024044795
33	0.8956431539
34	0.8895843949
35	0.8843606357
36	0.8794875229
37	0.8748200319
38	0.8707143043
39	0.866919268
40	0.8618859245
41	0.8580342674
42	0.8530555876
43	0.8493641322
44	0.8452481987
45	0.8408964275
46	0.8368850952
47	0.8340444335
48	0.8304704509
49	0.8253831215
50	0.8227903595
51	0.8185787048
52	0.8154386996
53	0.8133930016
54	0.8100893021
55	0.8063404673
56	0.8036609091
57	0.8005787206
58	0.7979341614
59	0.7963735597
60	0.79423324
61	0.7918270839
62	0.7893622207
63	0.7869050053
64	0.7829277489
65	0.7804618083
66	0.7776820017
67	0.7741248215
68	0.7718310593
69	0.7699024652
70	0.7673213278
71	0.7646005614
72	0.7620653866
73	0.759477332
74	0.7579007804
75	0.7551237707
76	0.752221562
77	0.7497590963
78	0.7465609256
79	0.7443015797
80	0.7424398751
81	0.7414685309
82	0.7376459035
83	0.7358125519
84	0.7323230587
85	0.7304501443
86	0.7275577652
87	0.7240809191
88	0.7214292997
89	0.7196122926
90	0.7173570493
91	0.7154371741
92	0.712227929
93	0.7100005823
94	0.7086659224
95	0.7058990216
96	0.7042684493
97	0.7019895323
98	0.6995541364
99	0.697566374
100	0.694568089
101	0.6921735763
102	0.6907071836
103	0.6898490124
104	0.6882476312
105	0.6862231068
106	0.6829205578
107	0.6800592742
108	0.6775513821
109	0.675041931
110	0.6713343773
111	0.6691845126
112	0.6677507795
113	0.6668420064
114	0.6650282682
115	0.6640931877
116	0.661837961
117	0.6597054763
118	0.6591498229
119	0.6567026432
120	0.6556642067
121	0.6547472635
122	0.6532656445
123	0.6512913887
124	0.6496795394
125	0.6480324647
126	0.6461318525
127	0.6433746354
128	0.6421888439
129	0.640137342
130	0.6381115019
131	0.6354006565
132	0.6343294293
133	0.6332139455
134	0.6309722542
135	0.6290072989
136	0.6266649173
137	0.6261874196
138	0.6250858179
139	0.6236147187
140	0.621737354
141	0.6200863903
142	0.6177720587
143	0.6158650345
144	0.6137336181
145	0.6117214677
146	0.61014239
147	0.608464801
148	0.607259845
149	0.6056596258
150	0.6036128215
151	0.6012835799
152	0.5993447986
153	0.5974054584
154	0.5964712959
155	0.5946179104
156	0.5930017756
157	0.5918145097
158	0.590322683
159	0.5884905445
160	0.5867958087
161	0.5848858987
162	0.5838949965
163	0.5818396613
164	0.5798403628
165	0.5787671579
166	0.5767264701
167	0.5745695678
168	0.5724667519
169	0.5708269592
170	0.5689531331
171	0.5677836972
172	0.565695412
173	0.5632230292
174	0.5614647914
175	0.5602137878
176	0.5585735345
177	0.5558780588
178	0.553962207
179	0.5530305268
180	0.5514896634
181	0.550291742
182	0.5500068517
183	0.5467187914
184	0.5457066425
185	0.5440771303
186	0.5424430075
187	0.5413772599
188	0.5398130158
189	0.5381611781
190	0.5358961281
191	0.5344696994
192	0.5324208153
193	0.5300187788
194	0.5289014035
195	0.5266240112
196	0.524781996
197	0.5226119898
198	0.5213178756
199	0.5202013685
200	0.5187109112
201	0.5178148278
202	0.5169295537
203	0.5152875887
204	0.5131188803
205	0.5113342936
206	0.5101093554
207	0.5081179042
208	0.5064296438
209	0.5055721369
210	0.5040676351
211	0.5033627922
212	0.5026696731
213	0.5013484811
214	0.5005252387
215	0.4992789562
216	0.4976994556
217	0.4962437656
218	0.4955916475
219	0.4944326055
220	0.4931660626
221	0.4921094964
222	0.4908407376
223	0.4897917472
224	0.4888160054
225	0.487491771
226	0.4863096245
227	0.4850445584
228	0.4832809243
229	0.48246125
230	0.4804890095
231	0.4788386903
232	0.4777136489
233	0.476524233
234	0.4747577442
235	0.4738658764
236	0.4727953948
237	0.4707808954
238	0.469132212
239	0.4681073362
240	0.4665068299
241	0.4655601192
242	0.4644155473
243	0.4630662245
244	0.4618063991
245	0.4603870414
246	0.4589289419
247	0.4577331452
248	0.4568281911
249	0.4560692546
250	0.4545503821
251	0.4536965345
252	0.4528657088
253	0.4514275378
254	0.4498357836
255	0.4482497738
256	0.4470901316
257	0.4455668808
258	0.4449433655
259	0.4442964841
260	0.4431359065
261	0.4415646181
262	0.4409075405
263	0.4401770454
264	0.4393253531
265	0.4384907898
266	0.4379486187
267	0.4371657008
268	0.4362517136
269	0.435471889
270	0.4339550033
271	0.4331440285
272	0.4320277748
273	0.430814899
274	0.4295133504
275	0.4281799003
276	0.4275291519
277	0.4269367306
278	0.426503826
279	0.4248106478
280	0.4237221313
281	0.4225036832
282	0.4217466191
283	0.4211868616
284	0.4199528411
285	0.4196388159
286	0.4181948514
287	0.4172936398
288	0.4155282395
289	0.4140147421
290	0.4126366219
291	0.4112727371
292	0.4100530734
293	0.4095323883
294	0.4085550782
295	0.407913194
296	0.4072333518
297	0.4062898478
298	0.4052092976
299	0.404120132
300	0.4027362562
