iter	Passed	Remaining
0	52	52001
1	62	31335
2	71	23859
3	78	19666
4	85	17045
5	93	15569
6	99	14090
7	108	13392
8	116	12832
9	123	12253
10	129	11683
11	138	11385
12	143	10923
13	150	10565
14	154	10174
15	161	9933
16	166	9651
17	171	9342
18	175	9067
19	180	8861
20	186	8711
21	192	8578
22	198	8429
23	207	8452
24	213	8330
25	221	8284
26	226	8172
27	232	8066
28	236	7920
29	241	7808
30	247	7745
31	253	7672
32	259	7593
33	263	7491
34	268	7409
35	272	7306
36	276	7209
37	282	7140
38	286	7048
39	289	6959
40	294	6899
41	299	6828
42	303	6750
43	307	6677
44	311	6619
45	316	6566
46	320	6504
47	324	6444
48	329	6386
49	333	6340
50	338	6293
51	342	6241
52	347	6201
53	350	6146
54	354	6095
55	358	6048
56	362	6001
57	366	5958
58	370	5911
59	374	5868
60	378	5828
61	382	5793
62	387	5757
63	391	5720
64	395	5689
65	399	5650
66	403	5618
67	407	5588
68	412	5561
69	416	5535
70	420	5505
71	425	5479
72	429	5451
73	433	5421
74	436	5389
75	441	5364
76	445	5338
77	449	5309
78	452	5280
79	457	5263
80	461	5235
81	465	5211
82	469	5185
83	473	5167
84	477	5145
85	481	5119
86	485	5095
87	490	5080
88	494	5058
89	498	5039
90	502	5017
91	507	5004
92	511	4984
93	514	4963
94	518	4943
95	523	4933
96	528	4921
97	532	4902
98	536	4882
99	540	4868
100	544	4850
101	548	4830
102	552	4810
103	556	4794
104	560	4778
105	564	4759
106	568	4742
107	572	4731
108	579	4737
109	584	4730
110	590	4725
111	597	4740
112	602	4729
113	608	4726
114	611	4708
115	617	4708
116	623	4708
117	628	4694
118	632	4680
119	637	4672
120	642	4664
121	646	4651
122	650	4640
123	655	4627
124	659	4613
125	663	4600
126	668	4592
127	672	4583
128	677	4574
129	681	4563
130	686	4555
131	691	4544
132	695	4533
133	700	4526
134	704	4511
135	708	4498
136	712	4486
137	716	4473
138	720	4464
139	724	4452
140	728	4439
141	733	4431
142	737	4418
143	741	4409
144	745	4398
145	750	4390
146	754	4380
147	758	4369
148	763	4360
149	768	4352
150	774	4357
151	778	4345
152	784	4341
153	788	4332
154	793	4326
155	798	4322
156	805	4322
157	809	4316
158	816	4318
159	822	4320
160	827	4312
161	831	4301
162	836	4294
163	841	4289
164	846	4286
165	851	4279
166	857	4279
167	862	4273
168	871	4285
169	876	4277
170	881	4271
171	885	4264
172	892	4265
173	899	4269
174	904	4265
175	912	4271
176	921	4282
177	927	4281
178	932	4278
179	938	4274
180	943	4271
181	951	4276
182	958	4280
183	970	4305
184	975	4296
185	979	4287
186	985	4283
187	992	4284
188	998	4282
189	1006	4292
190	1014	4296
191	1021	4297
192	1027	4297
193	1034	4296
194	1042	4305
195	1048	4302
196	1053	4293
197	1059	4289
198	1064	4284
199	1069	4277
200	1074	4272
201	1079	4266
202	1084	4258
203	1089	4253
204	1096	4250
205	1101	4244
206	1107	4241
207	1112	4237
208	1116	4227
209	1121	4219
210	1125	4209
211	1129	4199
212	1133	4187
213	1137	4179
214	1142	4173
215	1147	4163
216	1151	4153
217	1155	4144
218	1159	4136
219	1163	4126
220	1168	4117
221	1173	4111
222	1177	4101
223	1181	4092
224	1185	4084
225	1190	4078
226	1195	4070
227	1199	4062
228	1204	4054
229	1208	4045
230	1212	4035
231	1216	4025
232	1220	4018
233	1225	4011
234	1229	4002
235	1233	3993
236	1237	3985
237	1241	3975
238	1245	3966
239	1249	3957
240	1253	3948
241	1257	3939
242	1261	3930
243	1265	3920
244	1269	3912
245	1273	3904
246	1278	3896
247	1282	3889
248	1287	3884
249	1291	3874
250	1295	3866
251	1299	3857
252	1304	3850
253	1308	3842
254	1312	3833
255	1317	3827
256	1321	3820
257	1325	3812
258	1329	3803
259	1333	3796
260	1338	3788
261	1342	3780
262	1346	3771
263	1350	3764
264	1355	3760
265	1360	3753
266	1366	3750
267	1372	3748
268	1376	3741
269	1381	3734
270	1386	3728
271	1390	3722
272	1394	3714
273	1399	3709
274	1404	3703
275	1409	3696
276	1413	3689
277	1418	3683
278	1423	3678
279	1427	3671
280	1432	3665
281	1436	3658
282	1441	3652
283	1446	3645
284	1451	3640
285	1455	3633
286	1459	3626
287	1464	3620
288	1469	3615
289	1473	3608
290	1478	3602
291	1483	3596
292	1487	3590
293	1492	3583
294	1497	3578
295	1501	3572
296	1506	3565
297	1510	3559
298	1515	3553
299	1520	3548
300	1525	3542
301	1530	3536
302	1534	3530
303	1538	3523
304	1544	3519
305	1548	3512
306	1553	3507
307	1557	3500
308	1562	3494
309	1568	3490
310	1572	3484
311	1577	3478
312	1582	3473
313	1587	3468
314	1591	3461
315	1596	3455
316	1601	3450
317	1605	3443
318	1611	3439
319	1615	3433
320	1620	3428
321	1625	3423
322	1630	3416
323	1635	3411
324	1640	3406
325	1644	3400
326	1649	3394
327	1654	3388
328	1659	3383
329	1663	3377
330	1667	3371
331	1672	3366
332	1678	3361
333	1682	3354
334	1687	3349
335	1691	3343
336	1696	3337
337	1700	3331
338	1706	3326
339	1710	3320
340	1716	3316
341	1721	3311
342	1725	3305
343	1730	3300
344	1735	3294
345	1739	3288
346	1744	3283
347	1748	3276
348	1753	3271
349	1758	3266
350	1763	3260
351	1767	3254
352	1772	3249
353	1777	3243
354	1781	3237
355	1786	3232
356	1791	3227
357	1796	3221
358	1801	3215
359	1805	3210
360	1810	3204
361	1815	3199
362	1820	3195
363	1825	3188
364	1829	3182
365	1834	3177
366	1838	3171
367	1842	3165
368	1847	3159
369	1852	3153
370	1856	3147
371	1860	3141
372	1865	3136
373	1870	3130
374	1874	3124
375	1880	3120
376	1884	3114
377	1888	3108
378	1893	3102
379	1899	3098
380	1904	3093
381	1908	3087
382	1912	3081
383	1916	3075
384	1920	3068
385	1925	3062
386	1929	3056
387	1934	3050
388	1938	3044
389	1943	3039
390	1947	3033
391	1952	3027
392	1956	3022
393	1961	3017
394	1966	3012
395	1971	3006
396	1976	3002
397	1981	2997
398	1986	2991
399	1990	2986
400	1996	2981
401	2000	2976
402	2005	2970
403	2009	2965
404	2014	2959
405	2019	2954
406	2024	2949
407	2029	2944
408	2034	2939
409	2038	2933
410	2043	2928
411	2048	2923
412	2052	2917
413	2058	2913
414	2063	2909
415	2068	2904
416	2073	2899
417	2078	2893
418	2082	2887
419	2087	2882
420	2092	2877
421	2097	2873
422	2103	2869
423	2107	2863
